Timestamp,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Init Fwd Win Byts,Init Bwd Win Byts,Constant_Col,Label
14/02/2018 08:31:01,80,6,15075,44,25,2794,1166,0,Attack
14/02/2018 08:31:01,80,6,98100,32,22,6014,3572,0,Attack
14/02/2018 08:31:01,80,6,93602,14,14,7112,1271,0,Attack
14/02/2018 08:31:01,80,6,29995,14,11,9987,593,0,Attack
14/02/2018 08:31:01,80,6,58783,3,10,-73,9902,0,Attack
14/02/2018 08:31:01,80,6,inf,29,38,8149,3294,0,Attack
14/02/2018 08:31:01,80,6,41962,23,39,1960,9765,0,Attack
14/02/2018 08:31:01,80,6,85943,8,30,3233,2696,0,Attack
14/02/2018 08:31:01,80,6,20130,6,12,7413,3741,0,Benign
14/02/2018 08:31:01,80,6,22701,5,19,6898,5078,0,Benign
14/02/2018 08:31:01,80,6,91497,nan,18,5221,7534,0,Attack
14/02/2018 08:31:01,80,6,46659,9,9,3083,7575,0,Attack
14/02/2018 08:31:01,80,6,95836,18,3,9402,2879,0,Benign
14/02/2018 08:31:01,80,6,6094,43,27,3569,5222,0,Attack
14/02/2018 08:31:01,80,6,32032,21,4,6629,8737,0,Benign
14/02/2018 08:31:01,80,6,32032,21,4,6629,8737,0,Benign
14/02/2018 08:31:01,80,6,28128,26,23,9288,6627,0,Benign
14/02/2018 08:31:01,80,6,78810,11,6,2254,7043,0,Benign
14/02/2018 08:31:01,80,6,91379,13,27,144,5970,0,Benign
14/02/2018 08:31:01,80,6,18872,37,20,9787,4267,0,Benign
14/02/2018 08:31:01,80,6,89530,39,33,6758,5481,0,Benign
14/02/2018 08:31:01,80,6,79925,44,7,8487,7299,0,Attack
14/02/2018 08:31:01,80,6,59826,2,4,8207,-34,0,Attack
14/02/2018 08:31:01,80,6,61814,42,36,2912,9726,0,Attack
14/02/2018 08:31:01,80,6,75603,26,13,367,7181,0,Attack
14/02/2018 08:31:01,80,6,40155,26,20,3994,9135,0,Benign
14/02/2018 08:31:01,80,6,26049,2,23,9104,7219,0,Attack
14/02/2018 08:31:01,80,6,65565,29,22,4741,8100,0,Attack
14/02/2018 08:31:01,80,6,30383,12,40,2015,3261,0,Benign
14/02/2018 08:31:01,80,6,8656,12,2,6456,8551,0,Attack
14/02/2018 08:31:01,80,6,23037,8,50,5900,8395,0,Attack
14/02/2018 08:31:01,80,6,52217,29,12,6757,6086,0,Attack
14/02/2018 08:31:01,80,6,68746,36,19,773,9665,0,Attack
14/02/2018 08:31:01,80,6,30531,6,39,7634,2691,0,Benign
14/02/2018 08:31:01,80,6,64750,47,14,2872,8061,0,Benign
14/02/2018 08:31:01,80,6,23633,22,36,121,8200,0,Attack
14/02/2018 08:31:01,80,6,39820,39,1,2030,8697,0,Attack
14/02/2018 08:31:01,80,6,43333,16,26,9198,236,0,Attack
14/02/2018 08:31:01,80,6,998,39,5,8461,2781,0,Attack
14/02/2018 08:31:01,80,6,773,1,22,2239,3069,0,Benign
14/02/2018 08:31:01,80,6,44156,36,45,2832,8288,0,Attack
14/02/2018 08:31:01,80,6,97896,40,35,4972,3491,0,Attack
14/02/2018 08:31:01,80,6,76150,25,27,2971,9091,0,Benign
14/02/2018 08:31:01,80,6,79876,39,3,8473,5582,0,Benign
14/02/2018 08:31:01,80,6,4685,35,16,6296,4148,0,Benign
14/02/2018 08:31:01,80,6,49088,45,37,3125,7484,0,Benign
14/02/2018 08:31:01,80,6,50802,18,22,1304,5303,0,Benign
14/02/2018 08:31:01,80,6,53165,5,30,8991,3181,0,Benign
14/02/2018 08:31:01,80,6,87623,15,41,5893,7035,0,Benign
14/02/2018 08:31:01,80,6,3512,13,19,9244,6455,0,Benign
14/02/2018 08:31:01,80,6,22283,41,49,8859,1398,0,Benign
14/02/2018 08:31:01,80,6,17349,16,6,6402,2434,0,Benign
14/02/2018 08:31:01,80,6,54484,24,26,7149,9898,0,Attack
14/02/2018 08:31:01,80,6,88356,23,32,4011,2814,0,Attack
14/02/2018 08:31:01,80,6,2007,34,15,6155,322,0,Benign
14/02/2018 08:31:01,80,6,3727,3,7,6487,7264,0,Benign
14/02/2018 08:31:01,80,6,56522,28,25,101,9124,0,Attack
14/02/2018 08:31:01,80,6,49586,36,23,7040,6005,0,Attack
14/02/2018 08:31:01,80,6,24916,8,10,3719,1343,0,Benign
14/02/2018 08:31:01,80,6,27402,31,14,6603,7092,0,Benign
14/02/2018 08:31:01,80,6,42367,27,11,6700,5293,0,Benign
14/02/2018 08:31:01,80,6,97828,24,41,2929,9572,0,Attack
14/02/2018 08:31:01,80,6,12752,4,39,8366,6199,0,Attack
14/02/2018 08:31:01,80,6,396,6,36,784,3062,0,Attack
14/02/2018 08:31:01,80,6,55760,33,0,8797,5567,0,Attack
14/02/2018 08:31:01,80,6,98191,4,22,5273,376,0,Benign
14/02/2018 08:31:01,80,6,42372,35,6,8254,391,0,Attack
