Timestamp,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Init Fwd Win Byts,Init Bwd Win Byts,Constant_Col,Label
14/02/2018 08:31:01,80,6,25742,2,34,915,2052,0,Benign
14/02/2018 08:31:01,80,6,59448,23,30,3820,3917,0,Attack
14/02/2018 08:31:01,80,6,99256,5,25,5097,1894,0,Benign
14/02/2018 08:31:01,80,6,25186,31,1,4487,5309,0,Attack
14/02/2018 08:31:01,80,6,39397,28,23,9802,917,0,Benign
14/02/2018 08:31:01,80,6,inf,3,18,267,9031,0,Attack
14/02/2018 08:31:01,80,6,24181,22,43,43,3080,0,Attack
14/02/2018 08:31:01,80,6,38916,47,25,2925,6252,0,Benign
14/02/2018 08:31:01,80,6,7538,6,22,-33,8884,0,Benign
14/02/2018 08:31:01,80,6,99159,25,30,6814,4563,0,Benign
14/02/2018 08:31:01,80,6,96727,nan,27,6841,8237,0,Attack
14/02/2018 08:31:01,80,6,50758,18,47,2520,1803,0,Attack
14/02/2018 08:31:01,80,6,14121,19,50,2007,4202,0,Benign
14/02/2018 08:31:01,80,6,91726,36,12,1875,216,0,Benign
14/02/2018 08:31:01,80,6,50499,9,3,9671,1353,0,Benign
14/02/2018 08:31:01,80,6,50499,9,3,9671,1353,0,Benign
14/02/2018 08:31:01,80,6,200,24,23,5923,6395,0,Benign
14/02/2018 08:31:01,80,6,44857,34,21,2248,8507,0,Attack
14/02/2018 08:31:01,80,6,82826,15,46,3822,2725,0,Attack
14/02/2018 08:31:01,80,6,22123,35,6,6234,1032,0,Attack
14/02/2018 08:31:01,80,6,8635,22,8,3978,1638,0,Benign
14/02/2018 08:31:01,80,6,77026,7,47,9749,8590,0,Attack
14/02/2018 08:31:01,80,6,39982,19,4,5107,7764,0,Attack
14/02/2018 08:31:01,80,6,93923,22,23,492,218,0,Benign
14/02/2018 08:31:01,80,6,6745,32,5,1671,8577,0,Attack
14/02/2018 08:31:01,80,6,84384,21,23,5781,1273,0,Attack
14/02/2018 08:31:01,80,6,55538,8,50,3525,3741,0,Benign
14/02/2018 08:31:01,80,6,97277,50,35,9477,5046,0,Benign
14/02/2018 08:31:01,80,6,81329,15,44,4195,3141,0,Attack
14/02/2018 08:31:01,80,6,29741,17,37,8720,6875,0,Attack
14/02/2018 08:31:01,80,6,97618,40,16,2819,2297,0,Attack
14/02/2018 08:31:01,80,6,23207,23,29,2425,6948,0,Attack
14/02/2018 08:31:01,80,6,84353,13,40,1257,6879,0,Benign
14/02/2018 08:31:01,80,6,27385,4,27,4006,1137,0,Attack
14/02/2018 08:31:01,80,6,94411,42,32,7038,889,0,Benign
14/02/2018 08:31:01,80,6,57476,34,34,4245,5423,0,Attack
14/02/2018 08:31:01,80,6,53462,32,48,2327,7267,0,Benign
14/02/2018 08:31:01,80,6,51332,50,26,1443,7963,0,Benign
14/02/2018 08:31:01,80,6,78200,6,8,4510,7183,0,Benign
14/02/2018 08:31:01,80,6,64556,8,43,9771,287,0,Benign
14/02/2018 08:31:01,80,6,90451,27,26,7316,1108,0,Attack
14/02/2018 08:31:01,80,6,2000,1,9,1842,330,0,Attack
14/02/2018 08:31:01,80,6,9877,5,9,5380,7793,0,Benign
14/02/2018 08:31:01,80,6,16126,40,15,7791,2204,0,Attack
14/02/2018 08:31:01,80,6,81030,27,39,9922,6258,0,Attack
14/02/2018 08:31:01,80,6,79019,30,16,5849,3878,0,Attack
14/02/2018 08:31:01,80,6,60160,6,15,429,3633,0,Attack
14/02/2018 08:31:01,80,6,41881,34,29,3747,6496,0,Attack
14/02/2018 08:31:01,80,6,29361,8,34,5907,3294,0,Attack
14/02/2018 08:31:01,80,6,61639,19,5,2200,6168,0,Benign
14/02/2018 08:31:01,80,6,46774,12,10,9950,6494,0,Attack
14/02/2018 08:31:01,80,6,21080,30,19,420,7266,0,Benign
14/02/2018 08:31:01,80,6,84339,33,20,2888,3956,0,Benign
14/02/2018 08:31:01,80,6,10147,46,9,2262,1275,0,Benign
14/02/2018 08:31:01,80,6,36983,10,1,6064,9981,0,Attack
14/02/2018 08:31:01,80,6,32057,8,36,5735,5396,0,Benign
14/02/2018 08:31:01,80,6,83271,26,47,6127,4254,0,Attack
14/02/2018 08:31:01,80,6,76048,15,44,1653,9581,0,Attack
14/02/2018 08:31:01,80,6,50875,38,47,3932,5385,0,Benign
14/02/2018 08:31:01,80,6,96024,34,39,6018,586,0,Attack
14/02/2018 08:31:01,80,6,23825,7,40,-88,7900,0,Attack
14/02/2018 08:31:01,80,6,52393,25,31,2036,7361,0,Benign
14/02/2018 08:31:01,80,6,85222,26,15,598,5947,0,Attack
14/02/2018 08:31:01,80,6,23267,13,17,2476,4438,0,Attack
14/02/2018 08:31:01,80,6,58645,9,10,8873,-53,0,Attack
14/02/2018 08:31:01,80,6,97724,28,22,1607,2845,0,Benign
14/02/2018 08:31:01,80,6,21349,36,20,5841,7945,0,Attack
14/02/2018 08:31:01,80,6,35360,18,40,7234,110,0,Benign
14/02/2018 08:31:01,80,6,86830,2,2,3673,4392,0,Attack
14/02/2018 08:31:01,80,6,39745,47,24,3972,1331,0,Benign
14/02/2018 08:31:01,80,6,64723,24,15,6556,9292,0,Benign
14/02/2018 08:31:01,80,6,59121,12,2,8008,2632,0,Attack
14/02/2018 08:31:01,80,6,10580,14,36,2839,4987,0,Attack
14/02/2018 08:31:01,80,6,96945,41,42,5215,-3,0,Benign
14/02/2018 08:31:01,80,6,55870,21,32,5784,4624,0,Benign
14/02/2018 08:31:01,80,6,5709,24,23,305,2065,0,Benign
14/02/2018 08:31:01,80,6,24978,29,11,8163,3032,0,Attack
14/02/2018 08:31:01,80,6,43077,1,32,9256,7904,0,Benign
14/02/2018 08:31:01,80,6,62821,13,3,7853,2609,0,Benign
14/02/2018 08:31:01,80,6,85167,36,26,7003,9477,0,Attack
14/02/2018 08:31:01,80,6,32593,33,11,3452,9918,0,Attack
14/02/2018 08:31:01,80,6,17212,13,4,3883,9452,0,Benign
14/02/2018 08:31:01,80,6,50432,2,34,963,9600,0,Benign
14/02/2018 08:31:01,80,6,33126,24,5,4061,6709,0,Benign
14/02/2018 08:31:01,80,6,30153,5,28,9274,7917,0,Attack
14/02/2018 08:31:01,80,6,29510,14,41,57,3275,0,Benign
14/02/2018 08:31:01,80,6,94493,3,20,2045,6839,0,Attack
14/02/2018 08:31:01,80,6,59731,13,26,2083,3467,0,Benign
14/02/2018 08:31:01,80,6,9752,47,10,5993,2156,0,Benign
14/02/2018 08:31:01,80,6,79772,15,32,2614,6870,0,Benign
14/02/2018 08:31:01,80,6,5590,10,48,4176,477,0,Attack
14/02/2018 08:31:01,80,6,78388,38,13,6313,273,0,Benign
14/02/2018 08:31:01,80,6,66975,36,28,5054,239,0,Attack
14/02/2018 08:31:01,80,6,99554,17,21,1110,594,0,Attack
14/02/2018 08:31:01,80,6,60759,41,42,9726,6219,0,Attack
14/02/2018 08:31:01,80,6,6705,43,17,7160,6588,0,Attack
14/02/2018 08:31:01,80,6,61290,18,33,6147,2110,0,Benign
14/02/2018 08:31:01,80,6,16566,49,47,8686,9794,0,Attack
14/02/2018 08:31:01,80,6,86529,45,15,9722,2895,0,Benign
14/02/2018 08:31:01,80,6,82286,21,41,3385,2669,0,Attack
14/02/2018 08:31:01,80,6,69346,37,27,7025,5918,0,Benign
14/02/2018 08:31:01,80,6,71464,50,17,5891,7617,0,Attack
14/02/2018 08:31:01,80,6,58652,22,17,5453,3693,0,Attack
14/02/2018 08:31:01,80,6,99307,7,49,8270,5239,0,Benign
14/02/2018 08:31:01,80,6,19164,1,14,4347,3114,0,Benign
14/02/2018 08:31:01,80,6,45919,37,24,9169,8416,0,Attack
14/02/2018 08:31:01,80,6,85479,22,22,5117,5767,0,Attack
14/02/2018 08:31:01,80,6,27909,49,21,5665,6826,0,Attack
14/02/2018 08:31:01,80,6,86612,1,11,5738,3472,0,Benign
14/02/2018 08:31:01,80,6,93896,4,22,2579,3830,0,Benign
14/02/2018 08:31:01,80,6,20510,50,34,5106,4631,0,Benign
14/02/2018 08:31:01,80,6,98915,47,4,9683,7384,0,Benign
